{'loss': 0.4743, 'learning_rate': 6.015037593984962e-06, 'epoch': 0.12}
{'loss': 0.3235, 'learning_rate': 6.036519871106338e-06, 'epoch': 0.12}
{'loss': 0.4063, 'learning_rate': 6.058002148227713e-06, 'epoch': 0.12}
{'loss': 0.4727, 'learning_rate': 6.079484425349087e-06, 'epoch': 0.12}
{'loss': 0.4085, 'learning_rate': 6.100966702470462e-06, 'epoch': 0.12}
{'loss': 0.4238, 'learning_rate': 6.122448979591837e-06, 'epoch': 0.12}
{'loss': 0.3937, 'learning_rate': 6.143931256713212e-06, 'epoch': 0.12}
{'loss': 0.4716, 'learning_rate': 6.165413533834587e-06, 'epoch': 0.12}
{'loss': 0.4617, 'learning_rate': 6.186895810955962e-06, 'epoch': 0.12}
{'loss': 0.3756, 'learning_rate': 6.208378088077337e-06, 'epoch': 0.12}
{'loss': 0.4094, 'learning_rate': 6.229860365198711e-06, 'epoch': 0.12}
{'loss': 0.3427, 'learning_rate': 6.251342642320086e-06, 'epoch': 0.13}
{'loss': 0.4262, 'learning_rate': 6.2728249194414615e-06, 'epoch': 0.13}
{'loss': 0.3316, 'learning_rate': 6.294307196562837e-06, 'epoch': 0.13}
{'loss': 0.4134, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.13}
{'loss': 0.3878, 'learning_rate': 6.337271750805586e-06, 'epoch': 0.13}
