W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
prompt tuning with question-only, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 40.2s
Namespace(model_name='pt_llm', project='project_g_retriever', seed=0, dataset='nl27k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=16, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=0, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 24.6s
trainable params: 4235264 || all params: 6742650880 || trainable%: 0.06281304008431769
start training...
Lr: 5.913286112899764e-07, Accum Loss: 1.032731294631958
Lr: 5.934749946340417e-07, Accum Loss: 1.089987874031067
Lr: 5.95621377978107e-07, Accum Loss: 1.1254435181617737
Lr: 5.977677613221722e-07, Accum Loss: 1.1158517003059387
Lr: 5.999141446662374e-07, Accum Loss: 1.0343732237815857
Lr: 6.020605280103027e-07, Accum Loss: 1.0499026775360107
Lr: 6.042069113543679e-07, Accum Loss: 1.0213289856910706
Lr: 6.063532946984332e-07, Accum Loss: 1.1318866610527039
Lr: 6.084996780424985e-07, Accum Loss: 0.9937611520290375
Lr: 6.106460613865637e-07, Accum Loss: 1.1323904991149902
Lr: 6.127924447306289e-07, Accum Loss: 0.9837156236171722
Lr: 6.149388280746942e-07, Accum Loss: 1.1530402302742004
Lr: 6.170852114187595e-07, Accum Loss: 1.0838724374771118
Lr: 6.192315947628247e-07, Accum Loss: 0.9969089329242706
Lr: 6.2137797810689e-07, Accum Loss: 1.0373201668262482
Lr: 6.235243614509553e-07, Accum Loss: 1.0375367105007172
Lr: 6.256707447950204e-07, Accum Loss: 1.1067287921905518
Lr: 6.278171281390857e-07, Accum Loss: 1.1849169731140137
Lr: 6.29963511483151e-07, Accum Loss: 1.109681397676468
Lr: 6.321098948272161e-07, Accum Loss: 1.124717116355896
Lr: 6.342562781712815e-07, Accum Loss: 0.9131354689598083
Lr: 6.364026615153467e-07, Accum Loss: 1.149577558040619
Lr: 6.385490448594119e-07, Accum Loss: 1.0344731211662292
Lr: 6.406954282034772e-07, Accum Loss: 1.0071034133434296
Lr: 6.428418115475424e-07, Accum Loss: 0.9541657865047455
Lr: 6.449881948916078e-07, Accum Loss: 1.015358567237854
Lr: 6.471345782356729e-07, Accum Loss: 1.014321655035019
Lr: 6.492809615797382e-07, Accum Loss: 1.1214014887809753
Lr: 6.514273449238035e-07, Accum Loss: 1.0387796759605408
Lr: 6.535737282678686e-07, Accum Loss: 1.0366446673870087
Lr: 6.55720111611934e-07, Accum Loss: 1.0408600270748138
Lr: 6.578664949559992e-07, Accum Loss: 1.000878483057022
Lr: 6.600128783000645e-07, Accum Loss: 1.0691003799438477
Lr: 6.621592616441297e-07, Accum Loss: 1.0854741930961609
Lr: 6.643056449881949e-07, Accum Loss: 1.0521620512008667
Lr: 6.664520283322603e-07, Accum Loss: 0.9607191979885101
Lr: 6.685984116763254e-07, Accum Loss: 1.0012380182743073
Lr: 6.707447950203908e-07, Accum Loss: 1.001192957162857
Lr: 6.72891178364456e-07, Accum Loss: 1.0414899587631226
Lr: 6.750375617085211e-07, Accum Loss: 1.037000060081482
Lr: 6.771839450525865e-07, Accum Loss: 1.1437047123908997
Lr: 6.793303283966517e-07, Accum Loss: 1.1848340034484863
Lr: 6.81476711740717e-07, Accum Loss: 1.0404374301433563
Lr: 6.836230950847822e-07, Accum Loss: 1.0343964099884033
Lr: 6.857694784288474e-07, Accum Loss: 1.0820295214653015
Lr: 6.879158617729127e-07, Accum Loss: 0.9929678738117218
Lr: 6.900622451169779e-07, Accum Loss: 1.153072714805603
Lr: 6.922086284610433e-07, Accum Loss: 0.9883942306041718
Lr: 6.943550118051085e-07, Accum Loss: 1.0618934631347656
Lr: 6.965013951491736e-07, Accum Loss: 1.0705268681049347
Lr: 6.98647778493239e-07, Accum Loss: 1.001990556716919
Lr: 7.007941618373042e-07, Accum Loss: 1.0270567536354065
Lr: 7.029405451813695e-07, Accum Loss: 1.0622607469558716
Lr: 7.050869285254347e-07, Accum Loss: 1.0254241228103638
Lr: 7.072333118694999e-07, Accum Loss: 0.9801762402057648
Lr: 7.093796952135652e-07, Accum Loss: 0.9998488128185272
Lr: 7.115260785576304e-07, Accum Loss: 1.005267322063446
Lr: 7.136724619016958e-07, Accum Loss: 0.9937632977962494
